DEBUG 2024-08-29 03:03:15,809 autoreload File C:\Python311\Lib\multiprocessing\process.py first seen with mtime 1692871152.0
DEBUG 2024-08-29 03:03:15,810 autoreload File C:\Python311\Lib\site-packages\django\middleware\common.py first seen with mtime 1721567781.8509345
DEBUG 2024-08-29 03:03:15,810 autoreload File C:\Python311\Lib\glob.py first seen with mtime 1692871150.0
DEBUG 2024-08-29 03:03:15,811 autoreload File C:\Python311\Lib\site-packages\django\utils\termcolors.py first seen with mtime 1721567782.3483713
DEBUG 2024-08-29 03:03:15,812 autoreload File C:\Python311\Lib\site-packages\django\contrib\admin\models.py first seen with mtime 1721567774.1000056
DEBUG 2024-08-29 03:03:15,812 autoreload File C:\Users\hp\Desktop\CAAD-LMS\cms_backend_projecttccs\myapp\apps.py first seen with mtime 1724406959.1260931
DEBUG 2024-08-29 03:03:15,813 autoreload File C:\Python311\Lib\site-packages\django\core\files\move.py first seen with mtime 1721567780.4974785
DEBUG 2024-08-29 03:03:15,814 autoreload File C:\Python311\Lib\importlib\__init__.py first seen with mtime 1692871152.0
DEBUG 2024-08-29 03:03:15,815 autoreload File C:\Python311\Lib\asyncio\streams.py first seen with mtime 1692871150.0
DEBUG 2024-08-29 03:03:15,816 autoreload File C:\Python311\Lib\inspect.py first seen with mtime 1692871152.0
DEBUG 2024-08-29 03:03:15,818 autoreload File C:\Python311\Lib\graphlib.py first seen with mtime 1692871150.0
DEBUG 2024-08-29 03:03:15,819 autoreload File C:\Python311\Lib\site-packages\django\utils\timezone.py first seen with mtime 1721567782.369652
DEBUG 2024-08-29 03:03:15,820 autoreload File C:\Python311\Lib\site-packages\django\contrib\__init__.py first seen with mtime 1721567774.088936
DEBUG 2024-08-29 03:03:15,820 autoreload File C:\Python311\Lib\site-packages\django\http\response.py first seen with mtime 1721567781.817003
DEBUG 2024-08-29 03:03:15,821 autoreload File C:\Python311\Lib\site-packages\sqlparse\filters\__init__.py first seen with mtime 1721567667.5364547
DEBUG 2024-08-29 03:03:15,823 autoreload File C:\Python311\Lib\http\cookiejar.py first seen with mtime 1692871150.0
DEBUG 2024-08-29 03:03:15,824 autoreload File C:\Python311\Lib\concurrent\futures\thread.py first seen with mtime 1692871150.0
DEBUG 2024-08-29 03:03:15,825 autoreload File C:\Python311\Lib\site-packages\requests\exceptions.py first seen with mtime 1722604878.3536363
